Date,Close,High,Low,Open,Volume,ticker
2025-07-14,1570.300048828125,1591.800048828125,1559.800048828125,1591.800048828125,9173426,INFY.NS
2025-07-15,1585.5999755859375,1603.5999755859375,1564.0,1565.0999755859375,7614807,INFY.NS
2025-07-16,1607.9000244140625,1612.0,1578.5,1579.0,6223491,INFY.NS
2025-07-17,1583.5,1610.0,1580.0999755859375,1598.0,7374814,INFY.NS
2025-07-18,1586.0999755859375,1599.300048828125,1580.0,1592.0999755859375,5161833,INFY.NS
2025-07-21,1584.300048828125,1589.0,1566.800048828125,1580.0,3682661,INFY.NS
2025-07-22,1570.9000244140625,1585.800048828125,1565.0,1565.0,8473741,INFY.NS
2025-07-23,1574.5,1591.9000244140625,1550.0,1576.300048828125,8035026,INFY.NS
2025-07-24,1552.5,1582.0,1548.199951171875,1580.0,14169664,INFY.NS
2025-07-25,1515.699951171875,1549.5,1511.300048828125,1543.4000244140625,10851259,INFY.NS
2025-07-28,1516.0,1519.300048828125,1482.5,1513.9000244140625,6439855,INFY.NS
2025-07-29,1513.699951171875,1517.199951171875,1496.0999755859375,1512.9000244140625,7070448,INFY.NS
2025-07-30,1519.0,1521.699951171875,1506.0,1519.9000244140625,5719051,INFY.NS
2025-07-31,1509.0,1527.0999755859375,1497.0,1509.699951171875,6851407,INFY.NS
2025-08-01,1469.5999755859375,1498.699951171875,1465.5,1493.9000244140625,8702978,INFY.NS
2025-08-04,1480.5,1482.800048828125,1451.0,1461.5,8610216,INFY.NS
2025-08-05,1460.300048828125,1478.699951171875,1455.0,1478.699951171875,10213323,INFY.NS
2025-08-06,1436.699951171875,1456.0999755859375,1430.300048828125,1452.0,10566934,INFY.NS
2025-08-07,1436.9000244140625,1442.0,1414.199951171875,1430.0,9892020,INFY.NS
2025-08-08,1423.0999755859375,1433.199951171875,1417.0999755859375,1425.0,10048009,INFY.NS
2025-08-11,1428.199951171875,1433.4000244140625,1414.0,1419.9000244140625,6625368,INFY.NS
2025-08-12,1424.0999755859375,1441.0,1421.0,1428.199951171875,9899184,INFY.NS
2025-08-13,1426.5999755859375,1434.0,1422.4000244140625,1425.0,10317837,INFY.NS
