Date,Close,High,Low,Open,Volume,ticker
2025-07-14,1483.699951171875,1500.0,1479.0999755859375,1492.199951171875,10311846,RELIANCE.NS
2025-07-15,1485.4000244140625,1496.5,1482.4000244140625,1486.199951171875,8132454,RELIANCE.NS
2025-07-16,1485.5999755859375,1491.0,1471.5,1473.0,10409983,RELIANCE.NS
2025-07-17,1476.4000244140625,1489.5999755859375,1473.9000244140625,1487.4000244140625,11854613,RELIANCE.NS
2025-07-18,1476.0,1484.800048828125,1469.0999755859375,1484.800048828125,10296318,RELIANCE.NS
2025-07-21,1428.5999755859375,1476.0,1423.0999755859375,1465.0,22442744,RELIANCE.NS
2025-07-22,1412.800048828125,1431.9000244140625,1410.699951171875,1427.4000244140625,20396320,RELIANCE.NS
2025-07-23,1424.5999755859375,1426.0,1414.4000244140625,1426.0,8354596,RELIANCE.NS
2025-07-24,1402.9000244140625,1423.0,1396.0,1419.199951171875,14740507,RELIANCE.NS
2025-07-25,1391.699951171875,1401.0,1384.0999755859375,1398.9000244140625,11854722,RELIANCE.NS
2025-07-28,1387.5999755859375,1407.800048828125,1385.0,1392.300048828125,7748361,RELIANCE.NS
2025-07-29,1417.0999755859375,1420.199951171875,1383.0,1383.0,10750072,RELIANCE.NS
2025-07-30,1410.0999755859375,1423.300048828125,1401.300048828125,1418.0999755859375,7209849,RELIANCE.NS
2025-07-31,1390.199951171875,1402.5999755859375,1382.199951171875,1388.0999755859375,17065827,RELIANCE.NS
2025-08-01,1393.699951171875,1405.9000244140625,1384.300048828125,1386.9000244140625,10321171,RELIANCE.NS
2025-08-04,1411.5,1416.0999755859375,1391.699951171875,1395.0999755859375,6312820,RELIANCE.NS
2025-08-05,1391.699951171875,1411.0,1388.0999755859375,1411.0,9315972,RELIANCE.NS
2025-08-06,1392.800048828125,1395.9000244140625,1383.300048828125,1391.9000244140625,5834312,RELIANCE.NS
2025-08-07,1389.4000244140625,1393.699951171875,1366.0,1387.699951171875,9976705,RELIANCE.NS
2025-08-08,1367.800048828125,1397.199951171875,1365.0,1385.0,8793606,RELIANCE.NS
2025-08-11,1386.199951171875,1388.0,1361.199951171875,1370.0,9997486,RELIANCE.NS
2025-08-12,1380.4000244140625,1401.9000244140625,1375.199951171875,1381.9000244140625,12244664,RELIANCE.NS
2025-08-13,1382.5999755859375,1391.800048828125,1377.5,1388.0,7454588,RELIANCE.NS
