Date,Close,High,Low,Open,Volume,ticker
2025-07-14,3211.800048828125,3260.933353706794,3189.1768740408747,3254.9536470679677,3924009,TCS.NS
2025-07-15,3241.300048828125,3248.375889064686,3195.1565970327038,3195.1565970327038,2590889,TCS.NS
2025-07-16,3233.10009765625,3244.89990234375,3220.60009765625,3227.0,2540733,TCS.NS
2025-07-17,3209.199951171875,3242.0,3204.10009765625,3224.10009765625,2947640,TCS.NS
2025-07-18,3189.89990234375,3228.800048828125,3187.0,3225.0,3432645,TCS.NS
2025-07-21,3158.199951171875,3197.60009765625,3152.0,3190.0,3844346,TCS.NS
2025-07-22,3159.60009765625,3180.10009765625,3154.60009765625,3159.60009765625,3198036,TCS.NS
2025-07-23,3179.10009765625,3182.0,3157.60009765625,3159.60009765625,1922875,TCS.NS
2025-07-24,3148.0,3173.699951171875,3140.0,3165.10009765625,2934778,TCS.NS
2025-07-25,3135.800048828125,3156.89990234375,3125.60009765625,3140.0,2568917,TCS.NS
2025-07-28,3079.300048828125,3118.0,3069.89990234375,3110.0,3374473,TCS.NS
2025-07-29,3056.0,3074.0,3041.199951171875,3060.0,4785312,TCS.NS
2025-07-30,3053.60009765625,3069.0,3047.199951171875,3060.0,2880121,TCS.NS
2025-07-31,3036.800048828125,3059.800048828125,3015.0,3041.699951171875,2968371,TCS.NS
2025-08-01,3003.0,3036.800048828125,3000.0,3029.89990234375,2053847,TCS.NS
2025-08-04,3074.39990234375,3079.39990234375,2991.60009765625,3009.10009765625,2519252,TCS.NS
2025-08-05,3063.89990234375,3077.5,3042.0,3074.39990234375,1927996,TCS.NS
2025-08-06,3032.300048828125,3066.800048828125,3026.0,3063.0,1487081,TCS.NS
2025-08-07,3047.0,3051.60009765625,3010.89990234375,3016.0,2543076,TCS.NS
2025-08-08,3036.39990234375,3059.800048828125,3025.0,3048.10009765625,2762140,TCS.NS
2025-08-11,3040.800048828125,3049.89990234375,3021.300048828125,3036.39990234375,1884215,TCS.NS
2025-08-12,3035.39990234375,3096.39990234375,3026.89990234375,3041.0,3358232,TCS.NS
2025-08-13,3036.199951171875,3044.39990234375,3028.60009765625,3036.10009765625,2148166,TCS.NS
2025-08-14,3022.300048828125,3055.89990234375,3019.10009765625,3034.0,3341276,TCS.NS
